"2C"|2|"C"||||157|||200|||43||0|0|0|0|2|5|55|65|90|55|65|90|35|60|80|10|15|20|82|90|90||5|||10|||40|||20|||15||8|9|9||5|||4||1|1|10|0|0|0|0.1|0.1|1||||1.52|1.6|1.75||||1.52|1.6|1.75||10|400|705|0.05|0.06|0.07|6.3|7.3|16.7|3.5|4.1|14|0.6|0.6|8|21|28|38|0|0|0.6|0|0|23|0|0|6|0|0|0|".05"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|0.2|3.5|0.3|0.9|3.8|4.5|5|6||||||||||3.2|5.2|10|||||||||||||||||||||"13881377"|"39853587"
"BC"||"BC"||||53|||114|||61||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|0.5|3||||1.25|1.59|1.65||||1.26|1.6|1.66||1|28|100|0.07|0.1|0.18||||6|8.7|22.6|1.3|2.2|14.8|22|30|47|0.1|0.1|1.1|0|0|33|0|0|11|0|0|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|0.7|6.9|0.4|0.6|6.6|4.5|5|6||||||||||3.5|6.3|15.5|||||||||||||||||||||"13881377"|"39853588"
"Bw"||"B"||||21|||53|||32||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|1|5||||1.08|1.57|1.65||||1.09|1.58|1.66||1|35|100|0.07|0.1|0.18||||6|9.7|24.3|1.3|2.8|17.4|22|30|52|0.1|0.1|1.1|0|0|38|0|0|11|0|0|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|0.7|6.9|0.2|0.5|6.8|4.5|5|6||||||||||3.5|7.2|19.1|||||||||||||||||||||"13881377"|"39853589"
"Ap"||"A"||||1|||21|||20||0|2|5|0|2|5|80|85|90|80|85|90|55|68|80|25|35|45|55|55|70||2|||3|||40|||5|||5||27|33|33||13|||20||3|12|12|0|0|0|1|4|15||||0.65|1.34|1.49||||0.68|1.37|1.52||1|45|100|0.1|0.12|0.14||||9.5|19|28.5|2.5|10.6|24.5|32|40|67|0.1|0.6|0.6|0|31|55|0|7|7|0|0|1|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||0.5|2.8|3.3|1.2|1.5|7|4.5|5|6||||||||||5.1|14.1|34.9|||||||||||||||||||||"13881377"|"39853590"
"C"||"C"||||114|||157|||43||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|0.2|1||||1.49|1.59|1.65||||1.5|1.6|1.66||1|20|100|0.07|0.1|0.18||||6|8|20.6|1.3|1.8|12|22|30|39|0.1|0.1|1.1|0|0|29|0|0|11|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.7|0.8|6.9|0.5|0.8|5.5|4.5|5|6||||||||||3.6|5.8|12|||||||||||||||||||||"13881377"|"39853591"
"Oi"||"O"||||0|||1|||1||0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||0|0|0|20|75|95||||0.3|0.4|0.5||||||||10|50|100|0.1|0.17|0.24||||45.6|53.1|54.7|8.7|25.3|31.3|54|59|64|||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||8.7|30.6|63||14.6|30.5||||3.5|4.1|5.1|||||||22.3|74.8|98.5|||||||||||||||||||||"13881377"|"39853592"
"2C"|2|"C"||||157|||200|||43||0|0|0|0|2|5|55|65|90|55|65|90|35|60|80|10|15|20|82|90|90||5|||10|||40|||20|||15||8|9|9||5|||4||1|1|10|0|0|0|0.1|0.1|1||||1.52|1.6|1.75||||1.52|1.6|1.75||10|400|705|0.05|0.06|0.07|6.3|7.3|16.7|3.5|4.1|14|0.6|0.6|8|21|28|38|0|0|0.6|0|0|23|0|0|6|0|0|0|".05"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|0.2|3.5|0.3|0.9|3.8|4.5|5|6||||||||||3.2|5.2|10|||||||||||||||||||||"13881378"|"39853593"
"BC"||"BC"||||53|||114|||61||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|0.5|3||||1.25|1.59|1.65||||1.26|1.6|1.66||1|28|100|0.07|0.1|0.18||||6|8.7|22.6|1.3|2.2|14.8|22|30|47|0.1|0.1|1.1|0|0|33|0|0|11|0|0|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|0.7|6.9|0.4|0.6|6.6|4.5|5|6||||||||||3.5|6.3|15.5|||||||||||||||||||||"13881378"|"39853594"
"Bw"||"B"||||21|||53|||32||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|1|5||||1.08|1.57|1.65||||1.09|1.58|1.66||1|35|100|0.07|0.1|0.18||||6|9.7|24.3|1.3|2.8|17.4|22|30|52|0.1|0.1|1.1|0|0|38|0|0|11|0|0|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|0.7|6.9|0.2|0.5|6.8|4.5|5|6||||||||||3.5|7.2|19.1|||||||||||||||||||||"13881378"|"39853595"
"Ap"||"A"||||1|||21|||20||0|2|5|0|2|5|80|85|90|80|85|90|55|68|80|25|35|45|55|55|70||2|||3|||40|||5|||5||27|33|33||13|||20||3|12|12|0|0|0|1|4|15||||0.65|1.34|1.49||||0.68|1.37|1.52||1|45|100|0.1|0.12|0.14||||9.5|19|28.5|2.5|10.6|24.5|32|40|67|0.1|0.6|0.6|0|31|55|0|7|7|0|0|1|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0||||0.5|2.8|3.3|1.2|1.5|7|4.5|5|6||||||||||5.1|14.1|34.9|||||||||||||||||||||"13881378"|"39853596"
"C"||"C"||||114|||157|||43||0|10|20|0|5|15|75|82|90|75|82|90|50|75|90|25|45|65|35|70|70||5|||5|||50|||10|||0||27|27|48||17|||10||3|3|17|0|0|0|0.1|0.2|1||||1.49|1.59|1.65||||1.5|1.6|1.66||1|20|100|0.07|0.1|0.18||||6|8|20.6|1.3|1.8|12|22|30|39|0.1|0.1|1.1|0|0|29|0|0|11|0|0|4|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.7|0.8|6.9|0.5|0.8|5.5|4.5|5|6||||||||||3.6|5.8|12|||||||||||||||||||||"13881378"|"39853597"
"Oi"||"O"||||0|||1|||1||0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||0|0|0|20|75|95||||0.3|0.4|0.5||||||||10|50|100|0.1|0.17|0.24||||45.6|53.1|54.7|8.7|25.3|31.3|54|59|64|||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0||||8.7|30.6|63||14.6|30.5||||3.5|4.1|5.1|||||||22.3|74.8|98.5|||||||||||||||||||||"13881378"|"39853598"
"Bw2"||"B"||2||43|||66|||23||0|0|0|0|2|5|75|82|90|65|82|90|40|65|90|20|42|65|35|70|70||0|||0|||10|||40|||20||27|27|48||17|||10||3|3|17|0|0|0|0.5|0.5|1.5||||1.45|1.58|1.7||||1.5|1.63|1.75||1|30|100|0.08|0.14|0.19||||8.2|9.8|21.6|2.1|2.5|13.4|25|33|40|0.1|0.9|1|0|0|30|0|0|11|0|0|5|".20"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|5.7|5.7|0.5|3.5|5.8|4.5|5.3|6||||||||||4.2|7.9|12.4|||||||||||||||||||||"13881379"|"39853599"
"C"||"C"||||66|||200|||134||0|0|0|0|2|5|75|82|90|65|82|90|40|65|90|20|33|45|55|55|70||0|||0|||5|||40|||10||27|33|33||13|||20||3|12|12|0|0|0|0|0.25|0.5||||1.35|1.48|1.6||||1.38|1.51|1.63||1|20|100|0.08|0.12|0.16||||7|15.9|17.3|1.5|7.3|8.2|28|37|44|0.1|0.6|0.8|0|23|23|0|7|7|0|0|0|".17"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||0.7|3.9|5.3|0.9|1.6|4.4|4.5|5.3|6||||||||||3.4|7.3|10|||||||||||||||||||||"13881379"|"39853600"
"A"||"A"||||0|||5|||5||0|0|0|0|0|0|85|88|90|80|85|90|55|70|90|40|50|65|35|35|50||0|||0|||5|||15|||15||40|48|48||28|||20||10|17|17|0|0|0|2|4.5|6||||1|1.13|1.25||||1.03|1.16|1.28||1|3.9|100|0.15|0.18|0.21||||20.2|25.9|27.7|6|11.6|13.4|42|48|54|0.4|0.8|1|25|36|40|6|11|11|0|3|6|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||2.2|4.4|4.9|1|3.6|5|4.5|5.3|6||||||||||8.1|15.5|20|||||||||||||||||||||"13881379"|"39853601"
"Bw1"||"B"||1||5|||43|||38||0|0|0|0|2|5|75|82|90|65|82|90|40|65|90|20|42|65|35|35|70||0|||0|||5|||20|||10||27|48|48||28|||20||3|17|17|0|0|0|0.5|1.5|2||||1.35|1.48|1.6||||1.4|1.53|1.65||1|35|100|0.08|0.15|0.19||||11.8|24.3|26.5|1.9|10.7|12.1|27|36|43|0.1|0.9|1|0|30|31|0|11|11|0|1|5|".20"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||0.6|5|5.7|0.4|3.5|5.4|4.5|5.3|6||||||||||4.2|10.4|13.2|||||||||||||||||||||"13881379"|"39853602"
"A"||"A"||||0|||20|||20||0|0|0|0|0|7|85|95|95|80|92|92|55|80|85|30|60|70|24|47.9|51||4.8|||6.5|||8.5|||14.7|||13.4||32|40.1|59||20.1|||20||7|12|17|0|0|0|3|5|7||||1|1.13|1.25||||1.02|1.15|1.27||4|23|42|0.12|0.16|0.2||||19.3|25.5|28.7|5.6|10.4|14.5|41|49|54|0.3|0.6|0.9|24|33|42|3|7|11|0|2|7|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||1.4|2.7|4.3|0.8|1.7|4.5|4.5|5|5.5||||||||||10.3|15.9|21.5|||||||||||||||||||||"13881380"|"39853603"
"C"||"C"||||66|||152|||86||0|0|0|0|2|15|60|90|92|35|85|85|20|50|65|15|30|45|44|66.9|84||4.7|||13.6|||16.7|||20.1|||11.8||1|23.1|49||11.6|||11.5||1|10|17|0|0|0|0|0.5|1||||1.45|1.58|1.7||||1.48|1.61|1.73||4|73|141|0.06|0.11|0.16||||2.4|15.3|19.8|0.3|6.6|11.5|14|34|39|0|0.5|1.1|0|22|29|0|6|11|0|0|1|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|2.9|7.9|0.8|0.9|6.4|4.5|5.3|6||||||||||3|7.2|12.4|||||||||||||||||||||"13881380"|"39853604"
"Bg"||"B"||||20|||66|||46||0|0|0|0|0|15|65|95|95|50|92|92|30|60|80|15|30|65|24|66.9|84||4.7|||13.6|||16.7|||20.1|||11.8||1|23.1|59||11.6|||11.5||1|10|17|0|0|0|0|2|3||||1.35|1.48|1.6||||1.37|1.5|1.62||4|23|42|0.1|0.15|0.2||||3.2|17.9|22.3|0.4|8.6|14|21|39|43|0|0.5|1.2|0|25|33|0|6|11|0|0|5|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|2.5|7.9|0.5|0.6|6.7|4.5|5|5.5||||||||||4|10.3|16|||||||||||||||||||||"13881380"|"39853605"
