"Loamy sand"||"78900664"|"80285233"
"Sandy loam"||"78900665"|"80285390"
"Sandy loam"||"78900666"|"80285234"
"Coarse sandy loam"||"78900667"|"80285391"
"Sandy loam"||"78900681"|"80284740"
"Coarse sandy loam"||"78900682"|"80284741"
"Silt loam"||"78900683"|"80285243"
"Sandy loam"||"78900684"|"80285397"
"Coarse sand"||"78900697"|"80285406"
"Sand"||"78900698"|"80285252"
"Fine sand"||"78900699"|"80285414"
"Coarse sand"||"78900700"|"80285258"
"Loamy sand"||"78900701"|"80284757"
"Loamy sand"||"78900714"|"80284898"
"Fine sand"||"78900715"|"80284899"
"Fine sand"||"78900716"|"80284905"
"Coarse sand"||"78900717"|"80284906"
"Coarse sand"||"78900731"|"80284779"
"Loamy sand"||"78900732"|"80284780"
"Fine sand"||"78900733"|"80284781"
"Fine sand"||"78900734"|"80285444"
"Coarse sand"||"78900747"|"80284799"
"Loamy sand"||"78900748"|"80285297"
"Sandy loam"||"78900749"|"80285454"
"Sandy loam"||"78900750"|"80285298"
"Coarse sandy loam"||"78900751"|"80285455"
"Coarse sand"||"78900764"|"80285357"
"Sandy loam"||"78900765"|"80286897"
"Fine sand"||"78900766"|"80285387"
"Coarse sand"||"78900767"|"80285232"
"Fine sand"||"78900781"|"80285412"
"Coarse sand"||"78900782"|"80284890"
"Loamy sand"||"78900783"|"80284891"
"Fine sand"||"78900784"|"80284893"
"Fine sand"||"78900798"|"80284776"
"Coarse sand"||"78900799"|"80284777"
"Loamy sand"||"78900800"|"80285274"
"Fine sand"||"78900801"|"80284909"
"Loamy sand"||"78900814"|"80284787"
"Sandy loam"||"78900815"|"80285291"
"Fine sand"||"78900816"|"80284794"
"Coarse sand"||"78900817"|"80285292"
"Fine sandy loam"||"78900831"|"80284801"
"Sandy loam"||"78900832"|"80285186"
"Fine sand"||"78900833"|"80285354"
"Coarse sand"||"78900834"|"80284524"
|"Mucky peat"|"78900848"|"80284814"
|"Mucky peat"|"78900849"|"80284408"
|"Mucky peat"|"78900850"|"80284551"
"Fine sandy loam"||"78900851"|"80284819"
"Silt loam"||"78900864"|"80283993"
"Fine sandy loam"||"78900865"|"80283994"
"Silt loam"||"78900866"|"80285382"
"Sandy loam"||"78900867"|"80284958"
"Loam"||"78900868"|"80285205"
"Coarse sand"||"78900881"|"80285514"
"Fine sand"||"78900882"|"80285814"
"Coarse sand"||"78900883"|"80285815"
"Loamy sand"||"78900884"|"80285516"
"Fine sand"||"78900898"|"80285826"
"Coarse sand"||"78900899"|"80285827"
"Loamy sand"||"78900900"|"80285529"
"Sandy loam"||"78900901"|"80285532"
"Sandy loam"||"78900915"|"80288225"
"Sandy loam"||"78900916"|"80288226"
"Silt loam"||"78900917"|"80288227"
"Sand"||"78900918"|"80287419"
"Silt loam"||"78900931"|"80288244"
"Loam"||"78900932"|"80287435"
"Sandy loam"||"78900933"|"80287020"
"Silt loam"||"78900934"|"80288248"
"Sand"||"78900948"|"80284977"
"Sand"||"78900949"|"80286837"
"Loamy fine sand"||"78900950"|"80286838"
"Coarse sand"||"78900951"|"80286452"
"Loamy sand"||"78900965"|"80284995"
"Sand"||"78900966"|"80287269"
"Coarse sand"||"78900966"|"80287270"
"Coarse sand"||"78900967"|"80287271"
"Loamy sand"||"78900968"|"80287272"
"Sand"||"78900981"|"80287204"
"Coarse sand"||"78900982"|"80287207"
"Sandy loam"||"78900983"|"80285184"
"Sand"||"78900984"|"80284674"
"Loamy sand"||"78900985"|"80285500"
"Sand"||"78900998"|"80285352"
"Sand"||"78900999"|"80285507"
"Fine sandy loam"||"78901000"|"80285629"
"Coarse sand"||"78901001"|"80285630"
"Coarse sand"||"78901015"|"80285634"
"Fine sand"||"78901016"|"80285635"
"Loamy sand"||"78901017"|"80285636"
"Fine sand"||"78901018"|"80286167"
"Coarse sandy loam"||"78901032"|"80285650"
"Fine sandy loam"||"78901033"|"80285651"
"Fine sand"||"78901034"|"80286179"
"Coarse sand"||"78901035"|"80285820"
"Coarse sand"||"78901048"|"80285539"
"Loamy sand"||"78901049"|"80285664"
"Sandy loam"||"78901050"|"80285668"
"Coarse sand"||"78901051"|"80285543"
"Sand"||"78901065"|"80287815"
"Loamy sand"||"78901066"|"80287816"
"Coarse sand"||"78901067"|"80287426"
"Sandy loam"||"78901068"|"80287429"
"Sand"||"78901082"|"80287026"
"Loamy sand"||"78901083"|"80287826"
"Coarse sand"||"78901084"|"80287827"
"Sand"||"78901085"|"80287830"
"Coarse sand"||"78901098"|"80285248"
"Fine sand"||"78901099"|"80285403"
"Loamy sand"||"78901100"|"80284743"
"Sandy loam"||"78901101"|"80285249"
"Fine sand"||"78901102"|"80284749"
"Coarse sand"||"78901115"|"80285264"
"Loamy sand"||"78901116"|"80285422"
"Fine sand"||"78901117"|"80284768"
"Fine sand"||"78901118"|"80284771"
"Loamy sand"||"78901132"|"80284916"
"Fine sand"||"78901133"|"80285282"
"Coarse sand"||"78901134"|"80285439"
"Loamy sand"||"78901135"|"80285283"
"Sandy loam"||"78901149"|"80285452"
"Coarse sandy loam"||"78901150"|"80285296"
"Fine sandy loam"||"78901151"|"80285453"
"Sandy loam"||"78901152"|"80285300"
"Sandy loam"||"78901165"|"80284547"
"Silt loam"||"78901166"|"80284268"
|"Mucky peat"|"78901167"|"80284548"
|"Mucky peat"|"78901168"|"80284815"
"Silt loam"||"78901182"|"80287237"
"Loam"||"78901183"|"80287238"
"Sandy loam"||"78901184"|"80285374"
"Sandy loam"||"78901185"|"80284949"
"Fine sand"||"78901199"|"80286543"
"Fine sand"||"78901200"|"80285074"
"Loam"||"78901201"|"80284515"
"Fine sand"||"78901202"|"80285181"
"Very fine sand"||"78901215"|"80284576"
"Coarse sand"||"78901216"|"80284428"
"Coarse sand"||"78901217"|"80284577"
|"Material"|"78901218"|"80284836"
|"Material"|"78901219"|"80284430"
"Sandy loam"||"78901232"|"80285853"
"Sandy loam"||"78901233"|"80285563"
|"Highly decomposed plant material"|"78901234"|"80285855"
"Loamy sand"||"78901235"|"80285697"
"Fine sandy loam"||"78901249"|"80283441"
"Loam"||"78901250"|"80283580"
"Sandy loam"||"78901251"|"80283581"
"Loam"||"78901252"|"80283582"
"Loam"||"78901266"|"80283454"
"Sandy loam"||"78901267"|"80283859"
"Loam"||"78901268"|"80284272"
"Sandy loam"||"78901269"|"80283459"
|"Muck"|"78901282"|"80283960"
|"Muck"|"78901283"|"80283961"
|"Muck"|"78901284"|"80284247"
|"Peat"|"78901285"|"80284384"
"Loamy coarse sand"||"78901299"|"80284132"
"Coarse sand"||"78901300"|"80284258"
"Loamy sand"||"78901301"|"80284133"
"Coarse sand"||"78901302"|"80284542"
"Loamy sand"||"78901316"|"80284537"
"Sand"||"78901317"|"80285369"
"Loamy sand"||"78901318"|"80284538"
"Sand"||"78901319"|"80285203"
"Loam"||"78901332"|"80286220"
"Sandy loam"||"78901333"|"80285564"
"Sandy loam"||"78901334"|"80285854"
"Loamy sand"||"78901335"|"80285856"
"Sand"||"78901336"|"80285857"
"Loam"||"78901349"|"80283847"
"Fine sandy loam"||"78901350"|"80283443"
"Sandy loam"||"78901351"|"80283849"
"Silt loam"||"78901352"|"80283445"
"Loam"||"78901366"|"80284274"
"Sand"||"78900655"|"80287563"
"Coarse sand"||"78900660"|"80284879"
"Fine sand"||"78900662"|"80284881"
"Sandy loam"||"78900669"|"80285235"
"Loamy sand"||"78900676"|"80285237"
"Coarse sandy loam"||"78900678"|"80285242"
"Loam"||"78900680"|"80284739"
"Coarse sandy loam"||"78900685"|"80285244"
"Sand"||"78900687"|"80284884"
"Silt loam"||"78900694"|"80285250"
"Sandy loam"||"78900696"|"80285251"
"Fine sand"||"78900703"|"80284759"
"Loamy sand"||"78900705"|"80285259"
"Coarse sand"||"78900710"|"80285265"
"Fine sand"||"78900712"|"80285266"
"Fine sand"||"78900719"|"80284908"
"Coarse sand"||"78900721"|"80285429"
"Coarse sand"||"78900728"|"80285280"
"Fine sand"||"78900730"|"80284778"
"Fine sand"||"78900735"|"80285288"
"Loamy sand"||"78900737"|"80285289"
"Coarse sandy loam"||"78900744"|"80284932"
"Fine sand"||"78900746"|"80284798"
"Fine sand"||"78900753"|"80284938"
"Loamy sand"||"78900755"|"80284940"
"Sandy loam"||"78900760"|"80287214"
"Fine sandy loam"||"78900762"|"80285356"
"Sand"||"78900769"|"80284730"
"Coarse sand"||"78900769"|"80284733"
"Loamy sand"||"78900771"|"80284732"
"Fine sand"||"78900778"|"80284752"
"Loamy sand"||"78900780"|"80285253"
"Coarse sand"||"78900785"|"80285413"
"Fine sand"||"78900787"|"80284894"
"Fine sand"||"78900794"|"80285268"
"Loamy sand"||"78900796"|"80284770"
"Coarse sand"||"78900803"|"80285278"
"Fine sand"||"78900805"|"80285279"
"Coarse sand"||"78900810"|"80285442"
"Fine sand"||"78900812"|"80285287"
"Fine sand"||"78900819"|"80285451"
"Loamy sand"||"78900821"|"80284933"
"Loamy sand"||"78900828"|"80285457"
"Coarse sandy loam"||"78900830"|"80284800"
"Loamy sand"||"78900835"|"80285355"
"Loamy coarse sand"||"78900837"|"80285191"
"Silt loam"||"78900844"|"80283983"
|"Mucky peat"|"78900846"|"80284269"
"Sandy loam"||"78900853"|"80284552"
"Sandy loam"||"78900855"|"80284821"
"Sandy loam"||"78900860"|"80284558"
"Fine sandy loam"||"78900862"|"80284559"
"Sandy loam"||"78900869"|"80285373"
"Sand"||"78900871"|"80287226"
|"Muck"|"78900878"|"80285802"
|"Peat"|"78900880"|"80285804"
"Sandy loam"||"78900885"|"80285517"
"Fine sandy loam"||"78900887"|"80285643"
"Coarse sand"||"78900889"|"80285518"
"Loamy sand"||"78900894"|"80285523"
"Coarse sandy loam"||"78900896"|"80285527"
"Coarse sand"||"78900903"|"80285533"
"Sandy loam"||"78900905"|"80285660"
"Coarse sand"||"78900910"|"80285666"
"Coarse sand"||"78900912"|"80285670"
"Sand"||"78900914"|"80285672"
"Loamy sand"||"78900919"|"80287005"
"Loam"||"78900921"|"80288230"
"Sandy loam"||"78900928"|"80287819"
"Sandy loam"||"78900930"|"80287433"
"Sand"||"78900935"|"80287021"
"Coarse sand"||"78900937"|"80287022"
"Sandy loam"||"78900939"|"80287025"
"Coarse sand"||"78900944"|"80287029"
"Loamy fine sand"||"78900946"|"80287032"
"Loamy fine sand"||"78900953"|"80286839"
"Sandy loam"||"78900955"|"80286456"
"Sand"||"78900962"|"80287263"
"Coarse sand"||"78900964"|"80286468"
"Coarse sand"||"78900969"|"80286474"
"Sand"||"78900971"|"80286475"
"Coarse sand"||"78900971"|"80286476"
"Sandy loam"||"78900978"|"80287281"
"Sandy loam"||"78900980"|"80286487"
"Coarse sand"||"78900987"|"80285501"
"Loamy sand"||"78900989"|"80285790"
"Fine sand"||"78900994"|"80285502"
"Loamy sand"||"78900996"|"80285351"
"Loamy sand"||"78901003"|"80285632"
"Coarse sand"||"78901005"|"80285353"
"Sand"||"78901012"|"80285511"
"Fine sandy loam"||"78901014"|"80285633"
"Coarse sand"||"78901019"|"80285512"
"Sandy loam"||"78901021"|"80285513"
"Fine sand"||"78901028"|"80285644"
"Loamy sand"||"78901030"|"80285646"
"Sandy loam"||"78901037"|"80285526"
"Coarse sand"||"78901039"|"80285824"
"Fine sand"||"78901044"|"80285534"
"Loamy sand"||"78901046"|"80285535"
"Sand"||"78901053"|"80285669"
"Loam"||"78901055"|"80287415"
"Loam"||"78901062"|"80287010"
"Silt loam"||"78901064"|"80287011"
"Loam"||"78901069"|"80287820"
"Silt loam"||"78901071"|"80287432"
"Sandy loam"||"78901078"|"80287437"
"Sandy loam"||"78901080"|"80288254"
"Loamy fine sand"||"78901087"|"80287832"
"Sand"||"78901089"|"80286450"
"Coarse sand"||"78901094"|"80284877"
"Loamy sand"||"78901096"|"80285400"
"Coarse sand"||"78901103"|"80284750"
"Fine sand"||"78901105"|"80285408"
"Loamy sand"||"78901112"|"80284897"
"Fine sand"||"78901114"|"80285421"
"Coarse sand"||"78901119"|"80284772"
"Fine sand"||"78901121"|"80285269"
"Coarse sand"||"78901128"|"80284911"
"Fine sand"||"78901130"|"80284914"
"Fine sand"||"78901137"|"80284788"
"Loamy sand"||"78901139"|"80284790"
