"GP-GM"|No |"39853516"|"75454280"
"GM"|Yes|"39853516"|"75454281"
"GC-GM"|No |"39853516"|"75454282"
"SM"|No |"39853517"|"75454283"
"SC"|Yes|"39853517"|"75454284"
"GM"|Yes|"39853518"|"75454285"
"GP-GM"|No |"39853518"|"75454286"
"GC-GM"|No |"39853518"|"75454287"
"GP-GM"|No |"39853519"|"75454288"
"GM"|Yes|"39853519"|"75454289"
"GC-GM"|No |"39853519"|"75454290"
"SW-SM"|No |"39853520"|"75454291"
"SM"|Yes|"39853520"|"75454292"
"GP-GM"|No |"39853520"|"75454293"
"GW"|No |"39853521"|"75454294"
"GW-GM"|No |"39853521"|"75454295"
"GM"|No |"39853521"|"75454296"
"GC-GM"|No |"39853521"|"75454297"
"GC"|No |"39853521"|"75454298"
"SW"|No |"39853521"|"75454299"
"SW-SM"|No |"39853521"|"75454300"
"SM"|Yes|"39853521"|"75454301"
"SC-SM"|No |"39853521"|"75454302"
"SC"|No |"39853521"|"75454303"
"ML"|No |"39853521"|"75454304"
"CL-ML"|No |"39853521"|"75454305"
"CL"|No |"39853521"|"75454306"
"MH"|No |"39853521"|"75454307"
"GW"|No |"39853522"|"75454308"
"GW-GM"|No |"39853522"|"75454309"
"GM"|No |"39853522"|"75454310"
"GC-GM"|No |"39853522"|"75454311"
"GC"|No |"39853522"|"75454312"
"SW"|No |"39853522"|"75454313"
"SW-SM"|No |"39853522"|"75454314"
"SM"|Yes|"39853522"|"75454315"
"SC-SM"|No |"39853522"|"75454316"
"SC"|No |"39853522"|"75454317"
"ML"|No |"39853522"|"75454318"
"CL-ML"|No |"39853522"|"75454319"
"CL"|No |"39853522"|"75454320"
"GP-GM"|No |"39853523"|"75454321"
"GM"|No |"39853523"|"75454322"
"GC-GM"|No |"39853523"|"75454323"
"GC"|No |"39853523"|"75454324"
"SC-SM"|Yes|"39853523"|"75454325"
"SP-SM"|No |"39853523"|"75454326"
"SM"|No |"39853523"|"75454327"
"SC"|No |"39853523"|"75454328"
"ML"|No |"39853523"|"75454329"
"CL-ML"|No |"39853523"|"75454330"
"CL"|No |"39853523"|"75454331"
"GW-GM"|No |"39853523"|"75454332"
"SM"|Yes|"39853524"|"75454333"
"ML"|No |"39853524"|"75454334"
"MH"|No |"39853524"|"75454335"
"OH"|No |"39853524"|"75454336"
"GW"|No |"39853525"|"75454337"
"GP-GM"|No |"39853525"|"75454338"
"GM"|No |"39853525"|"75454339"
"GC-GM"|No |"39853525"|"75454340"
"GC"|No |"39853525"|"75454341"
"SW"|No |"39853525"|"75454342"
"SP-SM"|No |"39853525"|"75454343"
"SM"|Yes|"39853525"|"75454344"
"SC-SM"|No |"39853525"|"75454345"
"SC"|No |"39853525"|"75454346"
"ML"|No |"39853525"|"75454347"
"CL-ML"|No |"39853525"|"75454348"
"CL"|No |"39853525"|"75454349"
"MH"|No |"39853525"|"75454350"
"GP"|No |"39853525"|"75454351"
"OH"|No |"39853525"|"75454352"
"SC-SM"|No |"39853526"|"75454353"
"SM"|No |"39853526"|"75454354"
"SP-SM"|No |"39853526"|"75454355"
"SC"|Yes|"39853526"|"75454356"
"ML"|No |"39853526"|"75454357"
"CL-ML"|No |"39853526"|"75454358"
"CL"|No |"39853526"|"75454359"
"GP-GM"|No |"39853526"|"75454360"
"SC-SM"|No |"39853527"|"75454361"
"SM"|No |"39853527"|"75454362"
"SP-SM"|No |"39853527"|"75454363"
"SC"|No |"39853527"|"75454364"
"ML"|No |"39853527"|"75454365"
"CL-ML"|No |"39853527"|"75454366"
"CL"|Yes|"39853527"|"75454367"
"GP-GM"|No |"39853527"|"75454368"
"SC-SM"|Yes|"39853528"|"75454369"
"SM"|No |"39853528"|"75454370"
"SP-SM"|No |"39853528"|"75454371"
"SC"|No |"39853528"|"75454372"
"MH"|No |"39853528"|"75454373"
"ML"|No |"39853528"|"75454374"
"CL-ML"|No |"39853528"|"75454375"
"CL"|No |"39853528"|"75454376"
"OH"|No |"39853528"|"75454377"
"GP-GM"|No |"39853528"|"75454378"
"CL-ML"|No |"39853529"|"75454379"
"ML"|No |"39853529"|"75454380"
"SM"|No |"39853529"|"75454381"
"SC-SM"|No |"39853529"|"75454382"
"CL"|No |"39853529"|"75454383"
"SC"|Yes|"39853529"|"75454384"
"MH"|No |"39853529"|"75454385"
"OH"|No |"39853529"|"75454386"
"CL-ML"|Yes|"39853530"|"75454387"
"CL"|No |"39853530"|"75454388"
"CL-ML"|Yes|"39853531"|"75454389"
"ML"|No |"39853531"|"75454390"
"SC"|No |"39853532"|"75454391"
"CL-ML"|Yes|"39853532"|"75454392"
"CL"|No |"39853532"|"75454393"
"SC-SM"|No |"39853532"|"75454394"
"SC"|No |"39853533"|"75454395"
"SC-SM"|Yes|"39853533"|"75454396"
"GP-GC"|No |"39853533"|"75454397"
"SC"|No |"39853534"|"75454398"
"SC-SM"|Yes|"39853534"|"75454399"
"GP-GC"|No |"39853534"|"75454400"
"CL-ML"|Yes|"39853535"|"75454401"
"CL"|No |"39853535"|"75454402"
"CL-ML"|Yes|"39853536"|"75454403"
"ML"|No |"39853536"|"75454404"
"CL-ML"|Yes|"39853537"|"75454405"
"CL"|No |"39853537"|"75454406"
"SC"|No |"39853537"|"75454407"
"SC-SM"|No |"39853537"|"75454408"
"ML"|No |"39853538"|"75454409"
"CL-ML"|Yes|"39853538"|"75454410"
"CL-ML"|No |"39853539"|"75454411"
"ML"|No |"39853539"|"75454412"
"CL"|Yes|"39853539"|"75454413"
"CL-ML"|No |"39853540"|"75454414"
"ML"|Yes|"39853540"|"75454415"
"CL"|No |"39853540"|"75454416"
"SM"|No |"39853541"|"75454417"
"SC-SM"|No |"39853541"|"75454418"
