|||"Talf"|"20518865"|"7004083"
|||"Dip"|"20518865"|"7004084"
|||"Rise"|"20518865"|"7004085"
|||"Dip"|"20518866"|"7002605"
|||"Talf"|"20518866"|"7002606"
|"Base Slope"|||"20518867"|"7002607"
|"Side Slope"|||"20518867"|"7002608"
|"Crest"|||"20518867"|"7002609"
|||"Rise"|"20518867"|"7002610"
|||"Dip"|"20518867"|"7002611"
|||"Talf"|"20518867"|"7002612"
|"Side Slope"|||"20518868"|"7002613"
|"Crest"|||"20518868"|"7002614"
|"Base Slope"|||"20518868"|"7002615"
|||"Talf"|"20518868"|"7002616"
|||"Talf"|"20518869"|"7002617"
|"Crest"|||"20518869"|"7002618"
|"Side Slope"|||"20518869"|"7002619"
|"Base Slope"|||"20518869"|"7002620"
|"Side Slope"|||"20518870"|"7002624"
|"Base Slope"|||"20518870"|"7002625"
|"Crest"|||"20518870"|"7002626"
|||"Talf"|"20518870"|"7002627"
|||"Rise"|"20518870"|"7002628"
|"Base Slope"|||"20518871"|"7002629"
|"Side Slope"|||"20518871"|"7002630"
|"Crest"|||"20518871"|"7002631"
|||"Rise"|"20518871"|"7002632"
|||"Dip"|"20518871"|"7002633"
|||"Talf"|"20518871"|"7002634"
|"Side Slope"|||"20518872"|"7004500"
|"Base Slope"|||"20518872"|"7004501"
|"Crest"|||"20518872"|"7004502"
|"Interfluve"|||"20518872"|"7004503"
|"Side Slope"|||"20518873"|"7004518"
|"Base Slope"|||"20518873"|"7004519"
|"Crest"|||"20518873"|"7004520"
|"Interfluve"|||"20518873"|"7004521"
|"Side Slope"|||"20518874"|"7004534"
|"Base Slope"|||"20518874"|"7004535"
|"Crest"|||"20518874"|"7004536"
|"Interfluve"|||"20518874"|"7004537"
|"Side Slope"|||"20518875"|"7004546"
|"Base Slope"|||"20518875"|"7004547"
|"Crest"|||"20518875"|"7004548"
|"Interfluve"|||"20518875"|"7004549"
|"Side Slope"|||"20518876"|"7004557"
|"Base Slope"|||"20518876"|"7004558"
|"Crest"|||"20518876"|"7004559"
|"Interfluve"|||"20518876"|"7004560"
|||"Talf"|"20518877"|"7004437"
|||"Rise"|"20518877"|"7004438"
|||"Talf"|"20518878"|"7004440"
|"Side Slope"|||"20518879"|"7004441"
|"Crest"|||"20518879"|"7004442"
|"Base Slope"|||"20518879"|"7004443"
|||"Talf"|"20518879"|"7004444"
|||"Talf"|"20518880"|"7004445"
|||"Rise"|"20518880"|"7004446"
|"Side Slope"|||"20518880"|"7004447"
|"Base Slope"|||"20518880"|"7004448"
|"Crest"|||"20518880"|"7004449"
|||"Talf"|"20518881"|"7004450"
|"Crest"|||"20518881"|"7004451"
|"Side Slope"|||"20518881"|"7004452"
|"Base Slope"|||"20518881"|"7004453"
|"Side Slope"|||"20518882"|"7004454"
