unit_id,Mean_slope,tract_id
TRACT_00000,0.0,TRACT_00000
TRACT_00001,1.66921,TRACT_00001
TRACT_00002,1.315954,TRACT_00002
TRACT_00003,1.010128,TRACT_00003
TRACT_00004,1.006343,TRACT_00004
TRACT_00005,1.991845,TRACT_00005
TRACT_00006,3.928714,TRACT_00006
TRACT_00007,2.95641,TRACT_00007
TRACT_00008,1.401841,TRACT_00008
TRACT_00009,1.368097,TRACT_00009
TRACT_00010,2.877871,TRACT_00010
TRACT_00011,0.94375,TRACT_00011
TRACT_00012,2.86133,TRACT_00012
TRACT_00013,4.143409,TRACT_00013
TRACT_00014,3.387855,TRACT_00014
TRACT_00015,0.684613,TRACT_00015
TRACT_00016,2.885061,TRACT_00016
TRACT_00017,3.080929,TRACT_00017
TRACT_00018,2.080135,TRACT_00018
TRACT_00019,3.835649,TRACT_00019
TRACT_00020,1.275626,TRACT_00020
TRACT_00021,2.503334,TRACT_00021
TRACT_00022,0.621332,TRACT_00022
TRACT_00023,1.816569,TRACT_00023
TRACT_00024,0.892315,TRACT_00024
TRACT_00025,1.614187,TRACT_00025
TRACT_00026,0.471448,TRACT_00026
TRACT_00027,1.438173,TRACT_00027
TRACT_00028,1.790066,TRACT_00028
TRACT_00029,1.664029,TRACT_00029
TRACT_00030,2.580118,TRACT_00030
TRACT_00031,1.991102,TRACT_00031
TRACT_00032,1.426376,TRACT_00032
TRACT_00033,14.669879,TRACT_00033
TRACT_00034,3.198686,TRACT_00034
TRACT_00035,3.437767,TRACT_00035
TRACT_00036,5.164416,TRACT_00036
TRACT_00037,3.357317,TRACT_00037
TRACT_00038,4.11554,TRACT_00038
TRACT_00039,3.378701,TRACT_00039
TRACT_00040,3.438469,TRACT_00040
TRACT_00041,3.983103,TRACT_00041
TRACT_00042,1.499362,TRACT_00042
TRACT_00043,3.249189,TRACT_00043
TRACT_00044,2.850025,TRACT_00044
TRACT_00045,0.4445,TRACT_00045
TRACT_00046,1.951291,TRACT_00046
TRACT_00047,1.962413,TRACT_00047
TRACT_00048,2.786781,TRACT_00048
TRACT_00049,1.238841,TRACT_00049
TRACT_00050,2.092045,TRACT_00050
TRACT_00051,1.491561,TRACT_00051
TRACT_00052,3.675529,TRACT_00052
TRACT_00053,1.729114,TRACT_00053
TRACT_00054,2.201038,TRACT_00054
TRACT_00055,1.731565,TRACT_00055
TRACT_00056,1.939907,TRACT_00056
TRACT_00057,2.555082,TRACT_00057
TRACT_00058,1.705992,TRACT_00058
TRACT_00059,2.020068,TRACT_00059
TRACT_00060,3.125901,TRACT_00060
TRACT_00061,2.902043,TRACT_00061
TRACT_00062,3.366423,TRACT_00062
TRACT_00063,2.805157,TRACT_00063
TRACT_00064,2.649047,TRACT_00064
TRACT_00065,4.719542,TRACT_00065
TRACT_00066,1.924229,TRACT_00066
TRACT_00067,2.252276,TRACT_00067
TRACT_00068,2.809397,TRACT_00068
TRACT_00069,2.907845,TRACT_00069
TRACT_00070,5.198235,TRACT_00070
TRACT_00071,3.632957,TRACT_00071
TRACT_00072,0.414919,TRACT_00072
TRACT_00073,2.698397,TRACT_00073
TRACT_00074,2.515505,TRACT_00074
TRACT_00075,3.997082,TRACT_00075
TRACT_00076,4.176471,TRACT_00076
TRACT_00077,3.862893,TRACT_00077
TRACT_00078,4.057927,TRACT_00078
TRACT_00079,3.261832,TRACT_00079
TRACT_00080,5.345303,TRACT_00080
TRACT_00081,1.670241,TRACT_00081
TRACT_00082,3.229168,TRACT_00082
TRACT_00083,2.06279,TRACT_00083
TRACT_00084,2.867758,TRACT_00084
TRACT_00085,2.469701,TRACT_00085
TRACT_00086,1.518417,TRACT_00086
TRACT_00087,2.922361,TRACT_00087
TRACT_00088,1.015776,TRACT_00088
TRACT_00089,1.633383,TRACT_00089
TRACT_00090,5.032094,TRACT_00090
TRACT_00091,5.179928,TRACT_00091
TRACT_00092,3.127488,TRACT_00092
TRACT_00093,2.693276,TRACT_00093
TRACT_00094,3.916742,TRACT_00094
TRACT_00095,2.345276,TRACT_00095
TRACT_00096,3.415495,TRACT_00096
TRACT_00097,2.901411,TRACT_00097
TRACT_00098,4.053505,TRACT_00098
TRACT_00099,2.249911,TRACT_00099
TRACT_00100,3.090408,TRACT_00100
TRACT_00101,1.229379,TRACT_00101
TRACT_00102,5.700929,TRACT_00102
TRACT_00103,2.200915,TRACT_00103
TRACT_00104,2.776321,TRACT_00104
TRACT_00105,2.812756,TRACT_00105
TRACT_00106,3.828467,TRACT_00106
TRACT_00107,2.681715,TRACT_00107
TRACT_00108,3.08131,TRACT_00108
TRACT_00109,3.488327,TRACT_00109
TRACT_00110,5.794086,TRACT_00110
TRACT_00111,3.057226,TRACT_00111
TRACT_00112,4.693472,TRACT_00112
TRACT_00113,5.544686,TRACT_00113
TRACT_00114,5.780576,TRACT_00114
TRACT_00115,2.505848,TRACT_00115
TRACT_00116,2.177113,TRACT_00116
TRACT_00117,5.749875,TRACT_00117
TRACT_00118,5.291613,TRACT_00118
TRACT_00119,3.689779,TRACT_00119
TRACT_00120,2.406473,TRACT_00120
TRACT_00121,2.170233,TRACT_00121
TRACT_00122,3.892249,TRACT_00122
TRACT_00123,4.544026,TRACT_00123
TRACT_00124,8.13711,TRACT_00124
TRACT_00125,9.847963,TRACT_00125
TRACT_00126,2.89737,TRACT_00126
TRACT_00127,5.730064,TRACT_00127
TRACT_00128,6.641245,TRACT_00128
TRACT_00129,6.994676,TRACT_00129
TRACT_00130,2.739727,TRACT_00130
TRACT_00131,10.217216,TRACT_00131
TRACT_00132,0.868411,TRACT_00132
TRACT_00133,2.064336,TRACT_00133
TRACT_00134,11.448871,TRACT_00134
TRACT_00135,14.807284,TRACT_00135
TRACT_00136,2.729818,TRACT_00136
TRACT_00137,5.265186,TRACT_00137
TRACT_00138,2.138753,TRACT_00138
TRACT_00139,1.92183,TRACT_00139
TRACT_00140,7.677814,TRACT_00140
TRACT_00141,3.19018,TRACT_00141
TRACT_00142,0.0,TRACT_00142
TRACT_00143,8.740565,TRACT_00143
TRACT_00144,4.653933,TRACT_00144
TRACT_00145,8.436286,TRACT_00145
TRACT_00146,3.243641,TRACT_00146
TRACT_00147,3.401786,TRACT_00147
TRACT_00148,7.028807,TRACT_00148
TRACT_00149,3.564793,TRACT_00149
TRACT_00150,4.684055,TRACT_00150
TRACT_00151,4.96515,TRACT_00151
TRACT_00152,5.277608,TRACT_00152
TRACT_00153,2.932369,TRACT_00153
TRACT_00154,2.492934,TRACT_00154
TRACT_00155,4.11606,TRACT_00155
TRACT_00156,4.124212,TRACT_00156
TRACT_00157,2.388011,TRACT_00157
TRACT_00158,2.784761,TRACT_00158
TRACT_00159,3.790329,TRACT_00159
TRACT_00160,4.173847,TRACT_00160
TRACT_00161,5.276183,TRACT_00161
TRACT_00162,2.576165,TRACT_00162
TRACT_00163,2.561155,TRACT_00163
TRACT_00164,7.098016,TRACT_00164
TRACT_00165,4.34043,TRACT_00165
TRACT_00166,1.938946,TRACT_00166
TRACT_00167,5.463957,TRACT_00167
TRACT_00168,1.627426,TRACT_00168
TRACT_00169,4.868358,TRACT_00169
TRACT_00170,5.849697,TRACT_00170
TRACT_00171,3.390362,TRACT_00171
TRACT_00172,5.185563,TRACT_00172
TRACT_00173,2.99969,TRACT_00173
TRACT_00174,4.135079,TRACT_00174
TRACT_00175,1.798126,TRACT_00175
TRACT_00176,4.621166,TRACT_00176
TRACT_00177,2.066614,TRACT_00177
TRACT_00178,3.114923,TRACT_00178
TRACT_00179,3.034613,TRACT_00179
TRACT_00180,4.737932,TRACT_00180
TRACT_00181,5.726013,TRACT_00181
TRACT_00182,3.314717,TRACT_00182
TRACT_00183,7.220328,TRACT_00183
TRACT_00184,4.315029,TRACT_00184
TRACT_00185,3.715261,TRACT_00185
TRACT_00186,11.604304,TRACT_00186
TRACT_00187,3.522359,TRACT_00187
TRACT_00188,9.325849,TRACT_00188
TRACT_00189,2.724864,TRACT_00189
TRACT_00190,7.020746,TRACT_00190
TRACT_00191,1.950392,TRACT_00191
TRACT_00192,3.532676,TRACT_00192
TRACT_00193,2.101531,TRACT_00193
TRACT_00194,8.26738,TRACT_00194
TRACT_00195,2.660595,TRACT_00195
TRACT_00196,14.838203,TRACT_00196
TRACT_00197,8.595207,TRACT_00197
TRACT_00198,4.330777,TRACT_00198
TRACT_00199,2.532448,TRACT_00199
TRACT_00200,1.960683,TRACT_00200
