ID,Description,Asset type,Status,Photo,Program Area,Coordinates,Record link,Stewardship,Associated partner,Garden Stewardship copy
unknown,,Rain Garden,,,,,,,,
unknown,,Street Tree,,,,,,,,
,,,,,,,,,,
753B,,Rain Garden,Regular stewardship,753b.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/QxpRdAy3C_251HCUZRzwmA/S1aidGr-ZjqUORFcnTZKhUVa5_fQhBHT4GBYsy6c63NKdE1NiPuOI5i-RPvPocxRTNtFe_7TamOhgHtCU7s5NemwsXzwrZrGFTNF9Wi0WgBWFIZqukR2aRgJPL7_75zKGDdHbHR3QS5jkoGh-sHF7A/FrvPxow7OpYbscoHVXx6SKz-zLt-oZq6BSFCiZ7LhVY),Corona,"40°44'45""N 73°52'05""W",,"753B on Fri 12/05,753B on Fri 10/24",CASA,
760A,,Rain Garden,Regular stewardship,760a.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/FX8-VZ35Ho2rFQy2AhHmMA/MsG1RGssRfpvHEoE7_cf41ymBLMkU6iz1oaQIwQJLj6D6bMl7yIjadXqUmDsW0v950hh24S_d_c8hOey85B4OXAiKTrtgb6WvwjO02_aWN3r_7siid8zGVdkagBo7UD3W3F2ArP-6wX3TD6ioPIe_Q/LR9WOx313Yp7BxbJDiZmtFLVd6rKEstxzgvYr88Cjv0),Corona,"40°44'46""N 73°51'59""W",,"760A on Fri 11/14,760A on Fri 12/05,760A on Fri 10/17",CASA,
760B,,Rain Garden,Regular stewardship,,Corona,"40°44'46""N 73°51'59""W",,760B on Fri 12/05,CASA,
764A,,Rain Garden,Regular stewardship,764a.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/C3wxlzLKzSqIKLqkMM6CQQ/YsVHTq-Vg_-ALF3ebIslmpxcr382QZ9dJiSIEzKQHbKv_pXExV-cia2BZvXjx18JfyJK60wfuCwuMsUADfltooY_YolBCne8eZOVDyIhDxoqovJttGMTHuI-XVINo4qhuZDUANFjsZLcQ9l598Ihkw/YdGRnmAaD0ozpm8PMTCEBMHrgWZAKbmUEfEZYoO3Whg),Corona,"40°44'49""N 73°52'05""W",,"764A on Fri 12/05,764A on Fri 10/24",CASA,
766B,,Rain Garden,Regular stewardship,766b.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/m3IFn5LJSj9j4pKNm0K8OQ/hRjwLWsx2I6ksNdnBEIcyMuzrRz5ELbsPhdS8cXdDbUM6zH5UFFRv2U_FoFWfc97wt25HczDnBGjEqJlGy3iHDiTHhyctckqqYEthmVmhWTccoSlWcO3Mug-RV5IRtYX_4-2YN7pZvGsuHsrwnRZcQ/a25ByyHf_-Ij-xousHPZV9i1exmFLvDkGS_9T14Wxkk),Corona,"40°44'48""N 73°52'06""W",,"766B on Fri 12/05,766B on Fri 10/24",CASA,
847A,,Rain Garden,Regular stewardship,847a.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/t1wl06OYza-ER5b8G7gyJA/OwwaY-VA2tt76FPwmkX6KmjBX8bSDK_PDDM4qYCr4eHalJ49qO9ot8AYsSo9Vp8dlL3ZWncCS6Ysof_KqRxLqTtOl2Zuslz0sIXB9lek-Vcyp4uBILDaXgzqUVukGFQ0PfCuufKObIMUnCpQ4nhSPQ/qZxtv7NoNctl1ge7wdM4N59hdA-YotpcUw3q-0SA1nA),Corona,"40°44'52""N 73°51'57""W",,"847A on Fri 12/05,847A on Fri 01/09,847A on Fri 10/17,847A on Fri 10/24",CASA,
854A,,Rain Garden,Regular stewardship,,Corona,"40°44'48""N 73°51'54""W",,"854A on Fri 12/05,854A on Fri 10/17",CASA,
855B,,Rain Garden,Regular stewardship,855b.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/oULyYMsL6A3NGEE1qOfuUQ/xR2J-Hzmlh-v8iVr3Ge7Z5EYbl1boLjnLiOsuXsD4N1ER25wyQuMIoqPgUvs0f1adALmXzOW2Vodhi3uyB2uxJWTDFDJq1aoaErTUe7Mq3N1SriJGDkGHYcd0yeNOamf6-f1aY58TiV8cPcl-_Iumg/vWzw02ywWvCXRv0vNl3T3Hh2uEC1gj2ZuwfiWEDonDE),Corona,"40°44'49""N 73°51'54""W",,"855B on Fri 12/05,855B on Fri 10/17",CASA,
1212C,,Rain Garden,Inactive,,Corona,"40°44'50""N 73°51'52""W",,1212C on Fri 12/05,CASA,
1212E,,Rain Garden,Regular stewardship,1212e.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/aTueQrGDat0expY4jS0w5A/X4Zjv3c9aj4gR8dzxYRl4Ba-u0SmYj-8n8yj9jlbVIROcJcOCw4yaR8qedZBXjVYoHVHdDX9m4iEmPAFgVLPsT-Sz5xKY4QYAMZBW3c1OpvldsvtCnHM-xAcnt5K9awhAdwYmoMUjbDISZADCDdljHulN_dSvfkB2XXSi3kyQDM/HoJawNsbkXRbXJ16lHcG-Zutnz1HXiNZa34HYE_Glgg),Corona,"40°44'50""N 73°51'54""W",,1212E on Fri 10/17,CASA,
1596B,,Rain Garden,Irregular stewardship,,Corona,"40°45'30""N 73°51'40""W",,,Malcom X Community Garden,
1598B,,Rain Garden,Irregular stewardship,,Corona,"40°45'28""N 73°51'38""W",,,Malcom X Community Garden,
1605C,,Rain Garden,Irregular stewardship,,Corona,"40°45'32""N 73°51'29""W",,,Malcom X Community Garden,
785D,,Rain Garden,Irregular stewardship,,Corona,"40°44'55""N 73°52'01""W",,,PS 19Q,
785E,,Rain Garden,Irregular stewardship,,Corona,"40°44'55""N 73°52'01""W",,,PS 19Q,
3353641,“Green Leaf” Japanese flowering cherry,Street Tree,,,Corona,"40°44'53.9""N 73°51'57.5""W",https://tree-map.nycgovparks.org/tree-map/tree/3353641,,PS 19Q,
926B,,Rain Garden,Planned,,Corona,"40°44'45""N 73°51'44""W",,,The HOPE Program,
946B,,Rain Garden,Planned,,Corona,"40°44'45""N 73°51'43""W",,,The HOPE Program,
915B,,Rain Garden,Planned,,Corona,"40°44'42""N 73°51'42""W",,,The HOPE Program,
908G,,Rain Garden,Planned,,Corona,"40°44'41""N 73°51'40""W",,,The HOPE Program,
909C,,Rain Garden,Planned,,Corona,"40°44'41""N 73°51'37""W",,,The HOPE Program,
909A,,Rain Garden,Planned,,Corona,"40°44'41""N 73°51'33""W",,,The HOPE Program,
914F,,Rain Garden,Planned,,Corona,"40°44'45""N 73°51'40""W",,,The HOPE Program,
914E,,Rain Garden,Planned,,Corona,"40°44'46""N 73°51'38""W",,,The HOPE Program,
914D,,Rain Garden,Planned,,Corona,"40°44'46""N 73°51'37""W",,,The HOPE Program,
973A,,Rain Garden,Planned,,Corona,"40°44'41""N 73°51'32""W",,,The HOPE Program,
974A,,Rain Garden,Planned,,Corona,"40°44'40""N 73°51'32""W",,,The HOPE Program,
974B,,Rain Garden,Planned,,Corona,"40°44'40""N 73°51'32""W",,,The HOPE Program,
973B,,Rain Garden,Planned,,Corona,"40°44'40""N 73°51'32""W",,,The HOPE Program,
974C,,Rain Garden,Planned,,Corona,"40°44'39""N 73°51'32""W",,,The HOPE Program,
955D,,Rain Garden,Planned,,Corona,"40°44'48""N 73°51'30""W",,,The HOPE Program,
955C,,Rain Garden,Planned,,Corona,"40°44'48""N 73°51'30""W",,,The HOPE Program,
958C,,Rain Garden,Planned,,Corona,"40°44'48""N 73°51'28""W",,,The HOPE Program,
911D,,Rain Garden,Planned,,Corona,"40°44'42""N 73°51'39""W",,,The HOPE Program,
1204D,,Rain Garden,Inactive,1204D.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/5hPk8VNxMjjnEEMYyEm5Gg/_F73yRU9G3SVaMuAgKeYaoNp2wA2MDcchjSysxvv63GSsx64d8F1wdXPJ5aITr1155NUNnIX8mn6xL1393yUKZcgbHLiR_s_eq1AL3keP_bLv5F7h_GsTo9ZBMNcHbCaZNKxGtEDqyQNKCd8ImjYCX_PfJPxk_3yPNLgEF4ONXc/LVLJF_RyCXhtZs3SaUiYsSrEPKgLrlvINTawv9_eNYo),Flushing,"40°45'51""N 73°49'35""W",,"1204D on Tue 08/05,1204D on Thu 08/14,1204D on Tue 09/02,1204D on Tue 09/09,1204D on Tue 09/16,1204D on Tue 09/30,1204D on Tue 09/23,1204D on Tue 10/07,1204D on Tue 10/21,1204D on Wed 10/29,1204D on Sat 12/20",,
1061A,,Rain Garden,Inactive,1061A.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/CNaF-8SQ2RWV9qOCov3zNQ/Rmr3g9-ai5a_zzaUmM9DsDNqpZq5IpTwOAEgb6pk6aPPApHlMvsQ7_CuUEa4YG2qc03EgsauKtAWcxCBocN51F0Wn8MTWwQl88PdQD4xZFfqL2_e5WUyMx0DtXx5Va34K2k1VLgiAWM6jqfqOQBtT9TkVc7QS9EDdQoaI8EEI4o/Ya4XMOg3gTf1vTp6xBMmlUbIdjCUY4gUWudlDuv8UPU),Flushing,"40°45'49""N 73°49'32""W",,"1061A on Tue 08/05,1061A on Thu 08/14,1061A on Tue 09/02,1061A on Tue 09/09,1061A on Tue 09/16,1061A on Tue 09/30,1061A on Tue 09/23,1061A on Tue 10/07,1061A on Wed 10/29,1061A on Sat 12/20",,
